car_full_nm,horsepower_bhp,rpm_horsepower_measure_point,torque_lb_ft,car_0_60_time_seconds,engine_size_cc,engine_size_cat,engine_size_ci,top_speed_mph,top_speed_kph,horsepower_per_ton_bhp,year,decade,make_nm,car_weight_tons,torque_per_ton
BMW i8 Hybrid - [2013],228,3000,236,4.3,1499,1,487.7,255,410,594.9,2012,2010s,Bugatti,1.990250462,555.7089527
Radical SR3 1.5 16V - [2001],252,0,158,3.8,1500,1,387.3,273,439,946.4,2008,2000s,SSC,1.25,875.2
Alfa-Romeo 4C 1.8 Turbo - [2013],240,6000,258,4.4,1742,1,307,273,439,794.3,2012,2010s,Koenigsegg,1.415082463,625.4052491
Lotus 2-Eleven 1.8 Supercharged - [2007],252,8000,178,3.8,1796,1,244,256,411,832,2009,2000s,Porsche,1.346153846,574.9714286
Lotus Exige 240 R - [2005],243,8000,174,3.9,1796,1,307,261,420,766.5,2011,2010s,Koenigsegg,1.435094586,616.6840909
Caterham 7 Superlight R500 - [2000],230,8600,155,3.4,1796,1,376,260,418,844.2,2010,2010s,Hennessey,1.220090026,796.6625243
Lotus Exige S 1.8 Supercharged - [2006],218,7800,159,4.1,1796,1,307,249,400,718,2013,2010s,Koenigsegg,1.415041783,573.1279528
Lotus Elise SC 1.8 - [2007],217,8000,156,4.4,1796,1,292.9,254,408,784.3,2008,2000s,Koenigsegg,1.280122402,621.8155378
Caterham 7 Superlight R400 - [2003],200,7500,155,3.9,1796,1,487.7,252,405,530.1,2005,2000s,Bugatti,1.888322958,488.2639361
Lotus 340 R - [2000],190,7800,146,4.5,1796,1,244,255,410,680.6,2008,2000s,Porsche,1.450191008,490.2802432
Lotus Elise 1.8 S2 Sport 190 - [2003],190,7800,128,4.7,1796,1,381.8,249,400,735.8,2005,2000s,SSC,1.234030987,624.7817181
Caterham 7 Superlight R300 - [2003],160,7000,130,4.7,1796,1,286.8,242,389,696.1,2010,2010s,Koenigsegg,1.290044534,628.6604677
Morgan 3 Wheeler 2.0l V-Twin - [2011],115,4500,103,4.5,1976,1,471.7,240,386,822.4,2000,2000s,TVR,1.070038911,607.4545455
Audi A3 S3 2.0 Turbo S-Tronic - [2012],296,5500,280,4.7,1984,1,286.8,242,389,655.2,2005,2000s,Koenigsegg,1.23015873,551.1483871
KTM X-Bow R 2.0 Turbo - [2011],295,5500,295,3.6,1984,1,286.8,241,387,683,2006,2000s,Koenigsegg,1.180087848,574.5334988
KTM X-Bow R 2.0 Turbo - [2013],295,6300,295,3.9,1984,1,471.7,210,337,800,1997,1990s,TVR,1,650
KTM X-Bow GT 2.0 Turbo - [2013],281,6400,310,4,1984,1,382.1,227,365,628.6,2013,2010s,Ferrari,1.25517022,411.0996198
Mercedes A Class 45 AMG 2.0 Turbo - [2013],355,6000,332,4.6,1991,1,254,205,329,654.4,2012,2010s,Gumpert,1.175122249,577.8122237
Mercedes CLA 45 AMG 2.0 Turbo - [2013],355,6000,332,4.5,1991,1,446.2,220,354,460.1,2011,2010s,Aston-Martin,1.630080417,339.2470667
Subaru Impreza WRX STI Type RA Spec C - Blobeye - [2003],335,7000,280,4.3,1994,1,286.6,234,376,826.9,1996,1990s,Ferrari,0.907002056,423.3728
Subaru Impreza WRX STI R205 Spec C - Hatch - [2010],315,6400,318,3.7,1994,1,254,224,360,616.6,2009,2000s,Gumpert,1.200129744,553.2735135
Subaru Impreza WRX STI S206 - [2011],315,6400,318,4.5,1994,1,396.5,221,355,510.3,2013,2010s,Lamborghini,1.450127376,351.0036486
Subaru Impreza S201 STI - [2000],295,6500,260,4.7,1994,1,396.5,221,355,496.6,2013,2010s,Lamborghini,1.490132904,341.5802703
Subaru Impreza P1 - Classic - [2000],276,6500,260,4.7,1994,1,382.1,211,339,478.6,2012,2010s,Ferrari,1.525282073,333.7087671
