car_full_nm,horsepower_bhp,rpm_horsepower_measure_point,torque_lb_ft,rpm_torque_measure_point,car_0_60_time_seconds,engine_size_cc,engine_size_cat,engine_size_ci,top_speed_mph,top_speed_kph,horsepower_per_ton_bhp,year,decade,make_nm,car_weight_tons,torque_per_ton
BMW i3 0.6l Hybrid - [2013],34,1,41,1,NA,647,0,39.4,93,149,24.4,2013,2010s,BMW,1.393442623,29.42352941
Caterham 7 160/165 0.7L Turbo - [2013],79,7000,79,3400,NA,658,0,40.1,100,160,161.2,2013,2010s,Caterham,0.490074442,161.2
Fiat 500 L TwinAir Turbo - [2012],103,5500,107,2000,NA,875,0,53.3,112,180,81.7,2012,2010s,Fiat,1.260709914,84.87281553
Austin-Healey Sprite MKII AN7 - [1961],47,5500,53,2750,NA,948,0,57.8,86,138,68.6,1961,1960s,Austin-Healey,0.685131195,77.35744681
Austin-Healey Sprite MK1 AN5 - [1958],43,5000,52,3000,NA,948,0,57.8,83,133,64.1,1958,1950s,Austin-Healey,0.670826833,77.51627907
Daihatsu Charade GTti - [1987],100,0,96,0,NA,993,0,60.5,114,183,122.5,1987,1980s,Daihatsu,0.816326531,117.6
Daihatsu Charade 1.0 Turbo - [1979],67,5500,78,3200,NA,993,0,60.5,100,160,93,1979,1970s,Daihatsu,0.720430108,108.2686567
Citroen C1 1.0 VTR 3dr - [2005],67,6000,68,3600,NA,998,0,60.9,100,160,84.8,2005,2000s,Citroen,0.79009434,86.06567164
Skoda 105 S - [1977],45,4800,55,3000,NA,1046,1,63.8,81,130,52.6,1977,1970s,Skoda,0.855513308,64.28888889
Skoda Felicia 1.1L Cabriolet - [1961],53,5000,55,3500,NA,1089,1,66.4,85,136,61.4,1961,1960s,Skoda,0.863192182,63.71698113
Fiat 1100 1.1L - [1953],36,4400,50,2500,NA,1089,1,66.4,76,122,41.6,1953,1950s,Fiat,0.865384615,57.77777778
Austin-Healey Sprite MKIII AN8 - [1964],61,5750,62,3250,NA,1097,1,66.9,90,144,90.2,1964,1960s,Austin-Healey,0.676274945,91.67868852
Skoda S110 R/T 426 7.0 V8 Hemi - [1974],52,4650,64,3500,NA,1107,1,67.5,90,144,61.9,1974,1970s,Skoda,0.84006462,76.18461538
Skoda UVMV 1100 GT - [1970],73,5750,77,4000,NA,1138,1,69.4,109,175,89.4,1970,1970s,Skoda,0.81655481,94.29863014
Triumph Herald 1200 - [1961],39,4500,65,2250,NA,1147,1,69.9,74,119,47.9,1961,1960s,Triumph,0.814196242,79.83333333
Vauxhall-Opel Viva Brabham 1.2 8v - [1967],69,5800,66,4000,NA,1159,1,70.7,90,144,88.8,1967,1960s,Vauxhall-Opel,0.777027027,84.93913043
Skoda 120 L 1200 - [1980],52,5000,63,3000,NA,1174,1,71.6,87,140,59,1980,1980s,Skoda,0.881355932,71.48076923
Alfa-Romeo Alfasud 1.2 Sprint Ti - [1974],67,6000,67,3200,NA,1186,1,72.3,100,160,79.9,1974,1970s,Alfa-Romeo,0.838548185,79.9
Renault Captur 1.2 Turbo TCe 120 EDC - [2013],118,4900,140,2000,NA,1197,1,73,119,191,100,2013,2010s,Renault,1.18,118.6440678
Talbot Samba Rallye 1.2 - [1984],90,6700,75,5400,NA,1219,1,74.3,109,175,115.3,1984,1980s,Talbot,0.78057242,96.08333333
