budget,genres,homepage,original_language,original_title,overview,popularity,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
3000000,"[{""id"": 35; ""name"": ""Comedy""}; {""id"": 18; ""name"": ""Drama""}; {""id"": 10749; ""name"": ""Romance""}]",,en,The Apartment,Bud Baxter is a minor clerk in a huge New York insurance company; until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits; one night he's left with a major problem to solve.,22.889294,"June 15, 1960",25000000,125,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,Movie-wise; there has never been anything like it - laugh-wise; love-wise; or otherwise-wise!,The Apartment,8.1,483
806948,"[{""id"": 18; ""name"": ""Drama""}; {""id"": 27; ""name"": ""Horror""}; {""id"": 53; ""name"": ""Thriller""}]",,en,Psycho,When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life; she ends up at the notorious Bates Motel; where manager Norman Bates cares for his housebound mother. The place seems quirky; but fine… until Marion decides to take a shower.,93.067866,"June 16, 1960",32000000,109,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,The master of suspense moves his cameras into the icy blackness of the unexplored!,Psycho,8.2,2320
2000000,"[{""id"": 18; ""name"": ""Drama""}]",,en,The Hustler,Fast Eddie Felson is a small-time pool hustler with a lot of talent but a self-destructive attitude. His bravado causes him to challenge the legendary Minnesota Fats to a high-stakes match.,17.639478,"September 25, 1961",7600000,134,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,They called him Fast Eddie. He was a winner. He was a loser. He was a hustler.,The Hustler,7.6,240
6000000,"[{""id"": 80; ""name"": ""Crime""}; {""id"": 18; ""name"": ""Drama""}; {""id"": 10402; ""name"": ""Music""}]",,en,West Side Story,"In the slums of the upper West Side of Manhattan; New York; a gang of Polish-American teenagers called the Jets compete with a rival gang of recently immigrated Puerto Ricans; the Sharks; to ""own"" the neighborhood streets. Tensions are high between the gangs but two kids; one from each rival gang; fall in love leading to tragedy.",23.431117,"October 18, 1961",43656822,152,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,The screen achieves one of the great entertainments in the history of motion pictures,West Side Story,7,389
3200000,"[{""id"": 37; ""name"": ""Western""}]",,en,The Man Who Shot Liberty Valance,A senator; who became famous for killing a notorious outlaw; returns for the funeral of an old friend and tells the truth about his deed.,11.735287,"April 22, 1962",8000000,123,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,Together For The First Time - James Stewart - John Wayne - in the masterpiece of four-time Academy Award winner John Ford,The Man Who Shot Liberty Valance,7.4,265
2000000,"[{""id"": 18; ""name"": ""Drama""}; {""id"": 10749; ""name"": ""Romance""}]",,en,Lolita,Humbert Humbert is a middle-aged British novelist who is both appalled by and attracted to the vulgarity of American culture. When he comes to stay at the boarding house run by Charlotte Haze; he soon becomes obsessed with Lolita; the woman's teenaged daughter.,23.962109,"June 13, 1962",9250000,153,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,How did they ever make a movie of ...,Lolita,7.3,395
10000000,"[{""id"": 28; ""name"": ""Action""}; {""id"": 18; ""name"": ""Drama""}; {""id"": 36; ""name"": ""History""}; {""id"": 10752; ""name"": ""War""}]",,en,The Longest Day,"The retelling of June 6; 1944; from the perspectives of the Germans; US; British; Canadians; and the Free French. Marshall Erwin Rommel; touring the defenses being established as part of the Reich's Atlantic Wall; notes to his officers that when the Allied invasion comes they must be stopped on the beach. ""For the Allies as well as the Germans; it will be the longest day""",19.524972,"September 25, 1962",50100000,178,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""fr""; ""name"": ""Fran\u00e7ais""}; {""iso_639_1"": ""de""; ""name"": ""Deutsch""}]",Released,This is the day that changed the world... When history held its breath.,The Longest Day,7.2,234
950000,"[{""id"": 12; ""name"": ""Adventure""}; {""id"": 28; ""name"": ""Action""}; {""id"": 53; ""name"": ""Thriller""}]",http://www.mgm.com/#/our-titles/566/Dr.-No,en,Dr. No,In the film that launched the James Bond saga; Agent 007 battles mysterious Dr. No; a scientific genius bent on destroying the U.S. space program. As the countdown to disaster begins; Bond must go to Jamaica; where he encounters beautiful Honey Ryder; to confront a megalomaniacal villain in his massive island headquarters.,48.901542,"October 4, 1962",59600000,110,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""fr""; ""name"": ""Fran\u00e7ais""}]",Released,NOW meet the most extraordinary gentleman spy in all fiction!,Dr. No,6.9,940
15000000,"[{""id"": 12; ""name"": ""Adventure""}; {""id"": 18; ""name"": ""Drama""}; {""id"": 36; ""name"": ""History""}; {""id"": 10752; ""name"": ""War""}]",,en,Lawrence of Arabia,An epic about British officer T.E. Lawrence's mission to aid the Arab tribes in their revolt against the Ottoman Empire during the First World War. Lawrence becomes a flamboyant; messianic figure in the cause of Arab unity but his psychological instability threatens to undermine his achievements.,41.286336,"December 10, 1962",69995385,216,"[{""iso_639_1"": ""ar""; ""name"": ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629""}; {""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""tr""; ""name"": ""T\u00fcrk\u00e7e""}]",Released,,Lawrence of Arabia,7.8,851
2000000,"[{""id"": 80; ""name"": ""Crime""}; {""id"": 18; ""name"": ""Drama""}]",,en,To Kill a Mockingbird,In a small Alabama town in the 1930s; scrupulously honest and highly respected lawyer; Atticus Finch puts his career on the line when he agrees to represent Tom Robinson; a black man accused of rape. The trial and the events surrounding it are seen through the eyes of Finch's six-year-old daughter; Scout. While Robinson's trial gives the movie its momentum; there are plenty of anecdotal occurrences before and after the court date: Scout's ever-strengthening bond with older brother; Jem; her friendship with precocious young Dill Harris; her father's no-nonsense reactions to such life-and-death crises as a rampaging mad dog; and especially Scout's reactions to; and relationship with; Boo Radley; the reclusive 'village idiot' who turns out to be her salvation when she is attacked by a venomous bigot.,22.139842,"December 25, 1962",13129846,129,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,,To Kill a Mockingbird,8,657
