budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
54000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.imdb.com/title/tt0099674/,242,"[{""id"": 131, ""name"": ""italy""}, {""id"": 186, ""name"": ""christianity""}, {""id"": 242, ""name"": ""new york""}, {""id"": 441, ""name"": ""assassination""}, {""id"": 700, ""name"": ""italo-american""}, {""id"": 716, ""name"": ""vatican""}, {""id"": 717, ""name"": ""pope""}, {""id"": 718, ""name"": ""confession""}, {""id"": 720, ""name"": ""helicopter""}, {""id"": 5600, ""name"": ""daughter""}, {""id"": 10909, ""name"": ""lawyer""}]",en,The Godfather: Part III,"In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.",59.194915,"[{""name"": ""Paramount Pictures"", ""id"": 4}]","[{""iso_3166_1"": ""IT"", ""name"": ""Italy""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/24/1990,136766062,162,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""la"", ""name"": ""Latin""}]",Released,All the power on earth can't change destiny.,The Godfather: Part III,7.1,1546
14000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]",,12227,"[{""id"": 818, ""name"": ""based on novel""}, {""id"": 1321, ""name"": ""gold""}, {""id"": 1454, ""name"": ""treasure""}, {""id"": 1909, ""name"": ""coffin""}, {""id"": 2526, ""name"": ""human animal relationship""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 9880, ""name"": ""alaska""}, {""id"": 10950, ""name"": ""shootout""}, {""id"": 15162, ""name"": ""dog""}, {""id"": 162726, ""name"": ""prospector""}, {""id"": 180808, ""name"": ""klondike""}, {""id"": 189390, ""name"": ""yukon""}, {""id"": 189391, ""name"": ""boy dog relationship""}, {""id"": 189392, ""name"": ""gold miner""}]",en,White Fang,Jack London's classic adventure story about the friendship developed between a Yukon gold hunter and the mixed dog-wolf he rescues from the hands of a man who mistreats him.,13.13724,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Silver Screen Partners IV"", ""id"": 10282}, {""name"": ""Hybrid Productions Inc."", ""id"": 12608}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1/18/1991,34793160,107,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"Where civilization ends, their journey begins.",White Fang,6.5,135
19000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",,274,"[{""id"": 818, ""name"": ""based on novel""}, {""id"": 6259, ""name"": ""psychopath""}, {""id"": 8087, ""name"": ""horror""}, {""id"": 9937, ""name"": ""suspense""}, {""id"": 10714, ""name"": ""serial killer""}, {""id"": 12565, ""name"": ""psychological thriller""}, {""id"": 14895, ""name"": ""cannibal""}, {""id"": 18525, ""name"": ""fbi agent""}, {""id"": 33872, ""name"": ""animal in cast credits""}, {""id"": 208048, ""name"": ""cannibalism""}]",en,The Silence of the Lambs,"FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose.",18.174804,"[{""name"": ""Orion Pictures"", ""id"": 41}, {""name"": ""Strong Heart/Demme Production"", ""id"": 55072}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2/1/1991,272742922,119,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,To enter the mind of a killer she must challenge the mind of a madman.,The Silence of the Lambs,8.1,4443
38000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",,10537,"[{""id"": 458, ""name"": ""hippie""}, {""id"": 496, ""name"": ""poetry""}, {""id"": 572, ""name"": ""sex""}, {""id"": 578, ""name"": ""rock and roll""}, {""id"": 2483, ""name"": ""nudity""}, {""id"": 3298, ""name"": ""hallucination""}, {""id"": 3593, ""name"": ""wilderness""}, {""id"": 3800, ""name"": ""airplane""}, {""id"": 4344, ""name"": ""musical""}, {""id"": 4436, ""name"": ""addicted""}, {""id"": 4523, ""name"": ""joint""}, {""id"": 4572, ""name"": ""organ""}, {""id"": 5498, ""name"": ""lsd""}, {""id"": 5565, ""name"": ""biography""}, {""id"": 7464, ""name"": ""alcoholism""}, {""id"": 8903, ""name"": ""the doors""}, {""id"": 9844, ""name"": ""car crash""}, {""id"": 10229, ""name"": ""singer""}, {""id"": 14964, ""name"": ""drug""}, {""id"": 41591, ""name"": ""music band""}, {""id"": 187844, ""name"": ""flashback""}, {""id"": 226981, ""name"": ""blood ritual""}]",en,The Doors,"The story of the famous and influential 1960's rock band and its lead singer and composer, Jim Morrison.",10.794175,"[{""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""Ixtlan Productions"", ""id"": 525}, {""name"": ""Carolco Pictures"", ""id"": 14723}, {""name"": ""Bill Graham Films"", ""id"": 78806}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",3/1/1991,34416893,140,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"The Ultimate Story of Sex, Drugs & Rock 'N' Roll",The Doors,6.7,275
48000000,"[{""id"": 12, ""name"": ""Adventure""}]",,8367,"[{""id"": 392, ""name"": ""england""}, {""id"": 2868, ""name"": ""crusade""}, {""id"": 2951, ""name"": ""mercifulness""}, {""id"": 4147, ""name"": ""robin hood""}, {""id"": 4615, ""name"": ""folk hero""}]",en,Robin Hood: Prince of Thieves,"When the dastardly Sheriff of Nottingham murders Robin's father, the legendary archer vows vengeance. To accomplish his mission, Robin joins forces with a band of exiled villagers (and comely Maid Marian), and together they battle to end the evil sheriff's reign of terror.",28.803729,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Morgan Creek Productions"", ""id"": 10210}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/14/1991,390493908,143,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"For the good of all men, and the love of one woman, he fought to uphold justice by breaking the law.",Robin Hood: Prince of Thieves,6.6,909
23000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",,37137,"[{""id"": 521, ""name"": ""washington d.c.""}, {""id"": 840, ""name"": ""usa president""}, {""id"": 11931, ""name"": ""spoof""}, {""id"": 192099, ""name"": ""the white house""}]",en,The Naked Gun 2: The Smell of Fear,"Bumbling cop Frank Drebin is out to foil the big boys in the energy industry, who intend to suppress technology that will put them out of business.",27.33256,"[{""name"": ""Paramount Pictures"", ""id"": 4}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/28/1991,86930411,85,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,If you see only one movie this year...you ought to get out more often,The Naked Gun 2: The Smell of Fear,6.6,546
100000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",,280,"[{""id"": 679, ""name"": ""cyborg""}, {""id"": 1366, ""name"": ""shotgun""}, {""id"": 4458, ""name"": ""post-apocalyptic""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 11426, ""name"": ""moral ambiguity""}, {""id"": 11857, ""name"": ""mental institution""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 14946, ""name"": ""fictional war""}, {""id"": 160131, ""name"": ""morphing""}, {""id"": 160381, ""name"": ""nuclear weapons""}, {""id"": 162532, ""name"": ""shape shifter""}, {""id"": 175468, ""name"": ""savior""}, {""id"": 175472, ""name"": ""catch phrase""}]",en,Terminator 2: Judgment Day,"Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.",101.74155,"[{""name"": ""Lightstorm Entertainment"", ""id"": 574}, {""name"": ""Pacific Western"", ""id"": 1280}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""Carolco Pictures"", ""id"": 14723}, {""name"": ""T2 Productions"", ""id"": 61409}]","[{""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",7/1/1991,520000000,137,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,It's nothing personal.,Terminator 2: Judgment Day,7.7,4185
6500000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",,650,"[{""id"": 542, ""name"": ""street gang""}, {""id"": 577, ""name"": ""black people""}, {""id"": 897, ""name"": ""rap music""}, {""id"": 898, ""name"": ""hip-hop""}, {""id"": 3261, ""name"": ""street war""}, {""id"": 4562, ""name"": ""rapper""}, {""id"": 7920, ""name"": ""violence in schools""}, {""id"": 12670, ""name"": ""los angeles""}]",en,Boyz n the Hood,Boyz n the Hood is the popular and successful film and social criticism from John Singleton about the conditions in South Central Los Angeles where teenagers are involved in gun fights and drug dealing on a daily basis.,17.705671,"[{""name"": ""Columbia Pictures Corporation"", ""id"": 441}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",7/12/1991,57504069,112,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Once upon a time in South Central L.A... It ain't no fairy tale.,Boyz n the Hood,7.4,364
23000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.mgm.com/title_title.do?title_star=HARLEYDA,2453,"[{""id"": 417, ""name"": ""corruption""}, {""id"": 1365, ""name"": ""harley davidson""}, {""id"": 2231, ""name"": ""drug dealer""}, {""id"": 12670, ""name"": ""los angeles""}, {""id"": 14570, ""name"": ""las vegas""}]",en,Harley Davidson and the Marlboro Man,"It's the lawless future, and renegade biker Harley Davidson (Mickey Rourke) and his surly cowboy buddy, Marlboro (Don Johnson), learn that a corrupt bank is about to foreclose on their friend's bar to further an expanding empire. Harley and Marlboro decide to help by robbing the crooked bank. But when they accidentally filch a drug shipment, they find themselves on the run from criminal financiers and the mob in this rugged action adventure.",12.869436,"[{""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Krisjair"", ""id"": 22058}, {""name"": ""Laredo"", ""id"": 22059}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",8/23/1991,7434726,98,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,When the going gets tough... the tough take the law into their own hands.,Harley Davidson and the Marlboro Man,6.1,82
24000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",,177,"[{""id"": 113, ""name"": ""holy grail""}, {""id"": 960, ""name"": ""homeless person""}, {""id"": 1014, ""name"": ""loss of lover""}, {""id"": 1313, ""name"": ""mental disease""}, {""id"": 1335, ""name"": ""sense of guilt""}, {""id"": 1660, ""name"": ""suppressed past""}, {""id"": 1873, ""name"": ""yuppie""}, {""id"": 2045, ""name"": ""cynic""}, {""id"": 2486, ""name"": ""fantasy""}, {""id"": 2796, ""name"": ""self-discovery""}, {""id"": 3305, ""name"": ""housebreaking""}, {""id"": 3446, ""name"": ""forgiveness""}, {""id"": 3600, ""name"": ""gun rampage""}, {""id"": 3741, ""name"": ""talk show""}, {""id"": 3754, ""name"": ""legend""}, {""id"": 6059, ""name"": ""unsociability""}, {""id"": 187554, ""name"": ""person running amok""}]",en,The Fisher King,Two troubled men face their terrible destinies and events of their past as they join together on a mission to find the Holy Grail and thus to save themselves.,16.146572,"[{""name"": ""TriStar Pictures"", ""id"": 559}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",9/9/1991,41895491,137,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"A Modern Day Tale About The Search For Love, Sanity, Ethel Merman And The Holy Grail.",The Fisher King,7.2,341
